alias,nodeId,p2p,ping (tcp),ping (udp)
null,0x631344436595498805c8194c7c6e92e711e502f2,false,67ms,64ms
null,0xa272d86f5c0466783ecff3403786f42d18f3fc3b,false,10s,73ms
null,0x3b0f605fcb0690458064c10346af0c5f6b7202a5,false,10s,68ms
null,0x38af872142021660a9050e0ae5cc6257130fd5e1,false,91ms,87ms
null,0x5f4e552b3cbbd93b08df5a5ea06a234a276546e7,false,10s,46ms
null,0x09a3a029f4681d276551c47c3def23b6e7c83d2a,false,76ms,76ms
null,0x54a4c0d73321b636691083e07f75e1ee752d0227,false,92ms,92ms
null,0x4645eede40ed634bc038a0f561ca433350c61bbd,false,75ms,75ms
null,0xa179ec8ae148d9df1742917008d09a46270facb2,false,123ms,119ms
null,0xd785288bf6bf3c51dfb090e28c5ed1ec9ef8e628,false,10s,123ms
null,0xaef94a02dbbb375f19428ab12e65b5af411fb64b,false,121ms,122ms
null,0x05df0018ab01b8b554f119f04dbadfcd77a8a4f8,false,10s,10s
null,0x099c335b117a19fd4816536fc915f10bc79c6d18,false,95ms,95ms
null,0x8fcd223bffc7822039fc2bda537598449245fd71,false,10s,10s
null,0x8adf0cc54a61860a7907f1f4caddfbd072f9861b,false,10s,10s
null,0x36768241e7ac4b34bdef0b05f91200336073b696,false,66ms,65ms
null,0x2f24ab3a03cacb106653bebcf302a240f532e471,false,10s,10s
null,0x1061d33ce3564e511ed6cb1ea05af4f530473ee3,false,10s,10s
null,0x24280e2e18800d9920755a61910569fa237cd33b,false,121ms,119ms
null,0xd79f83f1108d1fcbe0cf57e13b452305eb38a325,false,10s,67ms
null,0x9d0fd580cb3def6090bbed7f20af45c5657394ff,false,84ms,82ms
null,0x5c5ad2578224e502d6e185e2c6afb3cbc88210e1,false,10s,255ms
null,0x7a4afaa76f107ca7b2be2fa5a98fabc534d120ef,false,10s,103ms
null,0x2fb13a1d7a224b69658cf4946957c507b6e5a83e,false,10s,103ms
null,0xb8abe71e735ae517efbc39a709d5a54293f6ba2c,false,69ms,69ms
null,0xb88cfa0aae542aadcea66024d1b1d90d390c992f,false,292ms,101ms
null,0x080efafac263131bfe1a3de81484a6a944bdb701,false,75ms,75ms
null,0x4bd46f8e1ed87dbfafae9293ef2aeff1fe2818a1,false,100ms,94ms
null,0xac8d393819c4149e6d92e848ba73b072f93ec70b,false,130ms,122ms
null,0x75220e506f7b939e471c9b433d8b34f3dd47b856,false,70ms,67ms
null,0x178f9b09c34540be713bf456fcb12bd0fc49f727,false,358ms,358ms
null,0x12095fc47688209021962424bc007e6a229c1ea7,false,54ms,54ms
null,0xea12d875324c2437e1c2453a131ab29dfcb00664,false,69ms,69ms
null,0xee629ccf1aff8cfcb9d07d5f073d6c3dd7c0cef9,false,10s,227ms
null,0xcba063e16259b8d7df197ca57b41d737d1c4812f,false,99ms,99ms
null,0xffcd363896770122cd587ef39d147a892690da9e,false,94ms,90ms
null,0xd4f1d5729566c3680c732e136093872b00447cce,false,10s,92ms
null,0xa124e0321ad9f6206e1895265b789d2792ce56f4,false,198ms,198ms
null,0xb2dcd2925aef3fbad821951ba40b6ab98067db2e,false,168ms,168ms
null,0x5424f1347d4a87195937a9faf0e6475f564701d9,false,68ms,68ms
null,0xc0e308c90170c8dadd74042cfebd2df0576dd684,false,10s,53ms
null,0x5006327078c2ef59d63ec172e0a2526fb28d0e24,false,152ms,152ms
