id,ip,port,seen
0x009dabda5f45e6df5cb37093af1bcb63dc2ab19b,92.85.13.12,11531,968.884393ms
0x0510c7a6a79090b78d7f7dfa57075898f8a1a205,141.95.102.130,11500,10.968897804s
0x08600e47055fdb0fdc047db8de08c53f3ed805c1,65.21.228.160,11500,5.968902701s
0x00076ae3a113dd535a4caf12cfea873fe3186108,145.239.28.141,11500,968.890898ms
0x0d2e6c96b8722b0d630025fad23b73462285b9cb,92.85.13.12,57057,1.968889738s
0x0e2299feec5ede069a1a461158598cf833938624,51.75.62.57,11500,968.894546ms
0x0bd56a416463d467e4e79dcf72f81b4e9ffcb924,139.162.163.191,34155,968.901867ms
0x08066a52c22c9cb57fd1a8226eb4755f5f78e3d8,144.76.38.184,11500,4.968900905s
0x044bb5b98618e0ae947841efd8679140ad5e5652,141.95.34.226,49512,126.968903699s
0x0dd2f8799502864cf452abab014dd299c28808e0,14.230.184.19,49368,968.909871ms
0x09a3a029f4681d276551c47c3def23b6e7c83d2a,93.34.229.22,34967,968.910886ms
0x010d030c7976b0b4c645f9aa2b3be4a5c21a1198,3.79.247.28,39218,968.907826ms
0x06aabf3a7101c3b47106dbee2b81206c145217f9,146.59.95.209,6986,3.968888431s
0x080efafac263131bfe1a3de81484a6a944bdb701,145.239.31.144,11500,2.968911873s
0x0d30e3749718331683542d2e521f6a2d15ba27dc,92.85.13.12,11545,968.898848ms
0x0bdc7bb49d0b43b0636d8d3aab90f1ea77142ffa,82.78.191.26,11620,2.968900042s
0x0b8fe776068b9b9ffdde6d7fb4037e855e6725be,82.78.191.26,11627,968.905867ms
0x04f105b02f7a151f60865631450f0caacf91d0c6,95.216.34.223,11500,4.968908769s
0x0a907b66dab0bbcaa2e88a0aa64e698879cbd212,135.125.244.185,11500,2.968892084s
0x0b00aa073a4e53311fb4933cb210dc27eabd150a,195.90.107.207,5031,968.906866ms
0x071803f3e8dd646e15b02cced971a6e183ff2de1,51.79.25.157,11500,4.968912795s
0x06c03165aaa676680b9d02c1f3ee846c3806fec7,5.226.70.4,27887,1.968914003s
0x0dc5a07a3577a9f2a103d9fc1761a585650e79f9,92.85.13.12,11560,968.914987ms
0x0f17c255ec21a7fb7ed7f01e4a8bfc1021333f80,51.83.236.130,11500,968.915881ms
0x0f6a9c1c99a1372382a8d871c9e44b8b20834e09,109.230.59.3,11500,968.896622ms
0x0c1f17564b01cbd02e9fd08217c3d930fd50a153,79.117.51.223,11500,968.893059ms
0x04d2fb2473b996df18f194ab6b2e17c3d5a15631,82.78.191.26,11629,968.904805ms
0x1eb4d527fb34a1d480be849c1a8d1e8b33287db4,69.247.142.161,1045,1.045479298s
0x1c872bd7254c8690caf97dd007c01005783f560b,86.1.191.54,6442,1.045499272s
0x1b1d1b53c5ac01ae6fb44867aace3877522b7125,5.226.70.11,19188,3.045511195s
0x1e48d0c032ca52e4ee99723c287daf702cd25bc8,157.100.106.147,4600,45.494451ms
0x130bab791b3455546f3260f2389b4641fa38308f,88.156.216.255,22270,45.480181ms
0x13793bd8f6ba55a78fd97cef9bea397c3f062c69,162.19.70.44,11500,3.045489061s
0x117505ef912a295598218706f7e161310c7eee45,195.90.107.207,29662,45.509395ms
0x164eea3f17ae631b77ff6d72aa1530724c09804d,5.226.70.4,40252,1.045472903s
0x140c9fcdf8ce0a50a083cfd33148cdaaddfa4d84,88.156.216.255,5778,45.478367ms
0x11b84f5a13ddcf4e7f8abb1adcf91540732aea11,86.1.191.54,6435,1.045486228s
0x181bbc404528fc44e883226d9653a27f5fc3fe5a,5.226.70.4,19106,1.045492371s
0x18bc69f6c71f550d43d33cd94c14ebb6eb0a5e86,165.232.164.117,11500,5.045506051s
0x1276406ab9995a45b2a522bcbda094ea35b8bec1,86.127.242.81,11500,45.482527ms
0x16b2b962ba8a8cdeb7849323de29f6a0162c90a1,121.121.107.170,11500,1.045487779s
0x1465aeba10df7266db9d9ca8ab26268e107f11b6,92.85.13.12,11563,2.04548448s
0x191b0791ce7e4251b0a2f09771ccf2a4c27e0022,135.125.13.96,11500,2.04550717s
0x1d58ad05add2509b46c30a099d70db138bfe7163,195.90.107.207,52318,2.045504359s
0x1b6d818572822deeb2d070b7cb91c501e78b7bf7,135.125.12.45,11500,3.045493452s
0x10e6e373dc78b84922c40470acbf4f2f510c1c63,5.226.70.10,59223,1.045497053s
0x1c5e862810eac7a65350cb0538a8eb8b30f560d8,72.76.165.91,1033,2.045495418s
0x1ed05d70d777166e37dbcc04b21a569032c7d2c2,51.79.100.138,11500,2.045501034s
0x1af624b5e8bd096948f4d2db2ab3aa2483b8c77a,82.78.191.26,11513,4.045490065s
0x188401c110b4aba7b6e3ad4959a0a822cfbf102e,133.165.218.41,1034,4.045481405s
0x1a62d8f662648dc9f7d475b5b53462cf0dcbbdec,5.226.70.11,55668,1.045505062s
0x142e1c83bfe758adb1fd73f09c83935c85180c66,212.250.153.231,61068,45.476483ms
0x18a0d029598e720de221dd4b4917c28e09978fcf,193.3.189.18,32781,45.498141ms
0x13303d756bf650d082a69f84774ab92e086973dd,138.201.22.68,11500,1.045508222s
0x1c78d70fd673cfb863be808a5087fe6c2bfd3ed6,92.85.13.12,57096,1.045510322s
0x1648acff4435cee6b1cf50c438204530561368a4,51.83.225.60,40206,45.486921ms
0x1c1c0b14e321c258f7057e29533cba0081df8bb8,187.72.192.33,11500,45.496242ms
0x186fd6e1a5ab0b9924d6b42be54fb87313dc6deb,54.37.3.148,11500,1.045477611s
0x1ccd42dc38f9043a09a066ee570c422dc88d0278,14.230.184.19,12808,1.045491369s
0x1371e45b1037460b17892635e2870cfe84c4545f,31.191.177.64,11500,1.045500291s
0x1a8cf49c58ee07894f52a0bc54d5d124ee5698ee,5.226.70.11,16650,2.045502878s
